timestamp,interval_idx,total_packets_ul,total_packets_dl,total_bytes_ul,total_bytes_dl,total_active_users,total_active_flows,total_throughput_ul_mbps,total_throughput_dl_mbps,eMBB_total_packets_ul,eMBB_total_packets_dl,eMBB_total_bytes_ul,eMBB_total_bytes_dl,eMBB_throughput_ul_mbps,eMBB_throughput_dl_mbps,eMBB_qos_5qi
0.000,0,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
1.000,1,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
2.000,2,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
3.000,3,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
4.000,4,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
5.000,5,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
6.000,6,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
7.000,7,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
8.000,8,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
9.000,9,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
10.000,10,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
11.000,11,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
12.000,12,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
13.000,13,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
14.000,14,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
15.000,15,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
16.000,16,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
17.000,17,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
18.000,18,18127,151060,22767736,189731136,850,1700,182.142,1517.849,18127,151060,22767736,189731136.000,182.142,1517.849,9
