timestamp,interval_idx,total_packets_ul,total_packets_dl,total_bytes_ul,total_bytes_dl,total_active_users,total_active_flows,total_throughput_ul_mbps,total_throughput_dl_mbps,eMBB_time_multiplier,eMBB_event_multiplier,eMBB_loss_rate_pct,eMBB_latency_ms,eMBB_jitter_ms,eMBB_total_packets_ul,eMBB_total_packets_dl,eMBB_total_bytes_ul,eMBB_total_bytes_dl,eMBB_throughput_ul_mbps,eMBB_throughput_dl_mbps,eMBB_qos_5qi,URLLC_time_multiplier,URLLC_event_multiplier,URLLC_loss_rate_pct,URLLC_latency_ms,URLLC_jitter_ms,URLLC_total_packets_ul,URLLC_total_packets_dl,URLLC_total_bytes_ul,URLLC_total_bytes_dl,URLLC_throughput_ul_mbps,URLLC_throughput_dl_mbps,URLLC_qos_5qi,mMTC_time_multiplier,mMTC_event_multiplier,mMTC_loss_rate_pct,mMTC_latency_ms,mMTC_jitter_ms,mMTC_total_packets_ul,mMTC_total_packets_dl,mMTC_total_bytes_ul,mMTC_total_bytes_dl,mMTC_throughput_ul_mbps,mMTC_throughput_dl_mbps,mMTC_qos_5qi
0.000,0,428746,511170,38298547,86451223,1000,2600,306.388,691.610,0.300,1.000,0.105,12.285,2.852,4926,41052,6187486,51562388,49.500,412.499,9,0.800,1.000,0.009,0.798,0.038,238636,238636,20999968,20999968,168.000,168.000,1,1.000,1.000,0.215,43.568,3.609,185184,231482,11111093,13888867,88.889,111.111,8
1.000,1,429925,512677,38454531,87019022,1000,2600,307.636,696.152,0.300,1.000,0.099,14.687,0.091,4971,41425,6243643,52030360,49.949,416.243,9,0.800,1.000,0.009,0.958,0.090,239770,239770,21099795,21099795,168.798,168.798,1,1.000,1.000,0.182,46.613,0.884,185184,231482,11111093,13888867,88.889,111.111,8
2.000,2,431092,514169,38608963,87581125,1000,2600,308.872,700.649,0.300,1.000,0.106,15.389,1.063,5015,41794,6299234,52493622,50.394,419.949,9,0.800,1.000,0.011,1.019,0.087,240893,240893,21198636,21198636,169.589,169.589,1,1.000,1.000,0.217,43.982,2.733,185184,231482,11111093,13888867,88.889,111.111,8
3.000,3,432235,515631,38760260,88131804,1000,2600,310.082,705.054,0.300,1.000,0.115,16.622,2.271,5058,42155,6353695,52947465,50.830,423.580,9,0.800,1.000,0.011,1.072,0.113,241993,241994,21295472,21295472,170.364,170.364,1,1.000,1.000,0.227,48.003,1.358,185184,231482,11111093,13888867,88.889,111.111,8
4.000,4,433344,517049,38906979,88665765,1000,2600,311.256,709.326,0.300,1.000,0.098,15.759,2.705,5100,42506,6406501,53387513,51.252,427.100,9,0.800,1.000,0.010,1.029,0.119,243060,243061,21389385,21389385,171.115,171.115,1,1.000,1.000,0.208,48.066,8.367,185184,231482,11111093,13888867,88.889,111.111,8
5.000,5,434408,518408,39047612,89177654,1000,2600,312.381,713.421,0.300,1.000,0.098,14.588,2.376,5140,42842,6457127,53809395,51.657,430.475,9,0.800,1.000,0.010,0.979,0.164,244084,244084,21479392,21479392,171.835,171.835,1,1.000,1.000,0.238,48.333,6.702,185184,231482,11111093,13888867,88.889,111.111,8
6.000,6,435415,519694,39180792,89662550,1000,2600,313.446,717.300,0.300,1.000,0.116,13.685,0.401,5179,43160,6505088,54209072,52.041,433.673,9,0.800,1.000,0.011,0.891,0.090,245052,245052,21564611,21564611,172.517,172.517,1,1.000,1.000,0.185,55.182,6.498,185184,231482,11111093,13888867,88.889,111.111,8
7.000,7,436354,520895,39305116,90115201,1000,2600,314.441,720.922,0.300,1.000,0.108,15.610,0.763,5214,43457,6549860,54582171,52.399,436.657,9,0.800,1.000,0.009,0.836,0.064,245956,245956,21644163,21644163,173.153,173.153,1,1.000,1.000,0.175,57.301,4.149,185184,231482,11111093,13888867,88.889,111.111,8
8.000,8,437218,522000,39419399,90531167,1000,2600,315.355,724.249,0.300,1.000,0.095,16.938,2.372,5247,43730,6590998,54924992,52.728,439.400,9,0.800,1.000,0.011,0.875,0.033,246787,246788,21717308,21717308,173.738,173.738,1,1.000,1.000,0.164,55.396,4.057,185184,231482,11111093,13888867,88.889,111.111,8
9.000,9,437997,522995,39522466,90906310,1000,2600,316.180,727.250,0.300,1.000,0.105,17.731,1.343,5277,43976,6628100,55234170,53.025,441.873,9,0.800,1.000,0.010,1.104,0.060,247536,247537,21783273,21783273,174.266,174.266,1,1.000,1.000,0.230,56.759,5.741,185184,231482,11111093,13888867,88.889,111.111,8
