timestamp,interval_idx,total_packets_ul,total_packets_dl,total_bytes_ul,total_bytes_dl,total_active_users,total_active_flows,total_throughput_ul_mbps,total_throughput_dl_mbps,eMBB_time_multiplier,eMBB_event_multiplier,eMBB_loss_rate_pct,eMBB_latency_ms,eMBB_jitter_ms,eMBB_total_packets_ul,eMBB_total_packets_dl,eMBB_total_bytes_ul,eMBB_total_bytes_dl,eMBB_throughput_ul_mbps,eMBB_throughput_dl_mbps,eMBB_qos_5qi,URLLC_time_multiplier,URLLC_event_multiplier,URLLC_loss_rate_pct,URLLC_latency_ms,URLLC_jitter_ms,URLLC_total_packets_ul,URLLC_total_packets_dl,URLLC_total_bytes_ul,URLLC_total_bytes_dl,URLLC_throughput_ul_mbps,URLLC_throughput_dl_mbps,URLLC_qos_5qi,mMTC_time_multiplier,mMTC_event_multiplier,mMTC_loss_rate_pct,mMTC_latency_ms,mMTC_jitter_ms,mMTC_total_packets_ul,mMTC_total_packets_dl,mMTC_total_bytes_ul,mMTC_total_bytes_dl,mMTC_throughput_ul_mbps,mMTC_throughput_dl_mbps,mMTC_qos_5qi
0.000,0,5588617,7103488,656762941,2005734707,10000,32000,5254.104,16045.878,1.000,1.000,0.315,16.809,0.419,185630,1237537,233151880,1554345872,1865.215,12434.767,9,1.000,1.000,0.020,0.859,0.023,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,0.928,60.134,32.963,1851851,2314815,111111093,138888867,888.889,1111.111,8
1.000,1,5590302,7114720,658879083,2019842317,10000,32000,5271.033,16158.739,1.000,1.000,0.296,24.069,0.195,187315,1248769,235268022,1568453482,1882.144,12547.628,9,1.000,1.000,0.019,0.958,0.116,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,1.018,80.255,19.031,1851851,2314815,111111093,138888867,888.889,1111.111,8
2.000,2,5591970,7125839,660973927,2033807945,10000,32000,5287.791,16270.464,1.000,1.000,0.319,30.431,2.440,188983,1259888,237362866,1582419110,1898.903,12659.353,9,1.000,1.000,0.020,0.802,0.063,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,0.945,79.974,2.853,1851851,2314815,111111093,138888867,888.889,1111.111,8
3.000,3,5593604,7136735,663026668,2047492884,10000,32000,5304.213,16379.943,1.000,1.000,0.346,27.834,2.532,190617,1270784,239415607,1596104049,1915.325,12768.832,9,1.000,1.000,0.021,0.849,0.017,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,0.973,85.999,5.694,1851851,2314815,111111093,138888867,888.889,1111.111,8
4.000,4,5595189,7147299,665016991,2060761705,10000,32000,5320.136,16486.094,1.000,1.000,0.293,26.556,5.231,192202,1281348,241405930,1609372870,1931.247,12874.983,9,1.000,1.000,0.020,0.876,0.135,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,1.167,98.234,12.857,1851851,2314815,111111093,138888867,888.889,1111.111,8
5.000,5,5596708,7157425,666924746,2073480070,10000,32000,5335.398,16587.841,1.000,1.000,0.293,22.630,0.470,193721,1291474,243313685,1622091235,1946.509,12976.730,9,1.000,1.000,0.020,0.768,0.236,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,1.134,109.881,22.870,1851851,2314815,111111093,138888867,888.889,1111.111,8
6.000,6,5598146,7167012,668730928,2085521288,10000,32000,5349.847,16684.170,1.000,1.000,0.347,22.952,0.844,195159,1301061,245119867,1634132453,1960.959,13073.060,9,1.000,1.000,0.019,0.874,0.205,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,0.870,91.440,42.029,1851851,2314815,111111093,138888867,888.889,1111.111,8
7.000,7,5599489,7175965,670417682,2096766310,10000,32000,5363.341,16774.130,1.000,1.000,0.323,26.117,4.469,196502,1310014,246806621,1645377475,1974.453,13163.020,9,1.000,1.000,0.019,1.106,0.171,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,1.083,80.310,6.514,1851851,2314815,111111093,138888867,888.889,1111.111,8
8.000,8,5600723,7184193,671967804,2107100460,10000,32000,5375.742,16856.804,1.000,1.000,0.286,21.618,3.811,197736,1318242,248356743,1655711625,1986.854,13245.693,9,1.000,1.000,0.017,1.181,0.063,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,1.081,104.987,21.400,1851851,2314815,111111093,138888867,888.889,1111.111,8
9.000,9,5601836,7191615,673366060,2116422164,10000,32000,5386.928,16931.377,1.000,1.000,0.316,22.439,3.464,198849,1325664,249754999,1665033329,1998.040,13320.267,9,1.000,1.000,0.023,1.037,0.004,3551136,3551136,312499968,312499968,2500.000,2500.000,1,1.000,1.000,0.885,92.850,7.487,1851851,2314815,111111093,138888867,888.889,1111.111,8
